,lon,lat,output [tonnes/year]
82,174.90291666665712,-37.07125000101172,0.506251
83,174.92291666665676,-37.059583334344666,0.146072
84,174.8712499999899,-37.04791666767744,0.301369
85,174.90624999999,-37.04375000101072,0.431497
86,174.8379166666566,-37.02125000100983,1.51429
87,174.8104166666567,-37.005416667675945,0.103112
88,174.78749999999036,-36.93375000177792,2.78419
89,174.7720833333235,-36.92375000100611,0.369949
90,174.8620833333232,-36.907083334338836,3.35017
91,174.87208333332353,-36.88291666767128,0.585381
92,174.69708333332358,-36.87041666767067,2.7519
93,174.80458333332354,-36.86208333433706,0.414122
94,174.7920833333235,-36.86125000100378,1.34433
95,174.6587499999904,-36.85791666767017,1.97051
96,174.65708333332327,-36.852083334336726,1.92827
97,174.70958333332328,-36.852083334336726,2.93315
98,174.64083333871952,-36.827500001921294,0.803553
99,174.76624999999,-36.80041666766806,0.121985
100,174.67374999998992,-36.787083334334284,0.526653
101,174.6795833333233,-36.787083334334284,0.368638
102,174.76874999999006,-36.767916667666896,0.669956
103,174.72791666665705,-36.64458333432884,0.101824
104,174.41874999999004,-36.617916667661234,0.129151
105,174.69708333332358,-36.58708333432668,0.129508
106,173.9645833333234,-36.092916667641475,0.253946
107,174.34958333332338,-35.74958333429561,2.30405
108,174.1179166666568,-35.334583334280296,0.116297
109,150.5920833333247,-35.176250000941195,0.155273
110,138.4695833333251,-35.12708333427281,0.16722
111,173.25541666665663,-34.998750000934876,0.230652
112,151.1145833333244,-34.003750000899345,4.54376
113,151.1895833333242,-33.96458333423129,0.273169
114,151.16874999999095,-33.948750000897405,3.68886
115,151.28958333332434,-33.787083334225144,0.256322
116,151.36624999999094,-33.4383333368238,0.109745
117,151.4454166666577,-33.30791666754186,0.155749
118,151.6145833333245,-32.962083334196564,0.486769
119,151.7770833333244,-32.92375000086196,0.631729
120,151.7429166666576,-32.85041666752602,0.443748
121,115.73708333332615,-32.05625000083245,5.55176
122,153.0029166666577,-30.652916667452928,0.122374
123,153.0312499999909,-30.500416667447837,0.120074
124,153.13958333332425,-30.297083334108038,0.347517
125,153.55291666665767,-28.52875000071856,0.115737
126,153.48208333332434,-28.128750000706248,0.288906
127,153.40874999999107,-27.913750000699736,0.927029
128,153.14041666665753,-27.396250000683892,1.91947
129,153.09291666665786,-27.337916667348793,0.535193
130,153.08541666665747,-27.331250000681905,0.699238
131,153.03874999999084,-27.150416667342938,0.708202
132,152.3829166666576,-24.792916667273403,0.325624
133,149.20791666665764,-21.07541666716918,0.176248
134,169.3254166666569,-19.596250000462533,0.164691
135,169.27874999999062,-19.552083333794826,0.304569
136,169.26458333332403,-19.531250000460886,0.966148
137,169.24916666665706,-19.520416664903564,0.139309
138,169.46041666665678,-19.51041666712689,0.144773
139,169.22166666665703,-19.457083331613774,0.142457
140,169.24916666665706,-19.38791666499509,0.190002
141,178.10624999999004,-19.077083333782184,0.199282
142,178.11374999998975,-19.077083333782184,0.295152
143,178.11708333332342,-19.077083333782184,0.278626
144,178.0029166666567,-18.259583333760645,0.378571
145,178.0545833333233,-18.25958333376053,0.36729
146,178.1537499999897,-18.2587500004272,5.71634
147,177.87374999998974,-18.2562500004272,0.378161
148,177.93708333332324,-18.2562500004272,0.25008
149,178.06791666665652,-18.2562500004272,0.96359
150,177.8687499999902,-18.251250000427035,1.13606
151,177.82624999998984,-18.23791666709343,0.108718
152,177.78374999999016,-18.22958333375982,0.487821
